S	I	R	Total	Time
96.7879134777	24.6665431664	9635.54551985	9756.99997649	82.0

96.6740608552	22.4264028568	9637.8972713	9756.99773501	83.0

98.6519333335	22.4724195729	9635.8756257	9756.9999786	83.0

98.5462001491	20.4334532879	9638.01828507	9756.9979385	84.0

100.572767544	20.4794437504	9635.94776923	9756.99998052	84.0

100.474525989	18.623097826	9637.9004994	9756.99812321	85.0

102.547910353	18.6686511939	9635.78342072	9756.99998226	85.0

102.456588245	16.9781246272	9637.56357805	9756.99829092	86.0

104.574962504	17.0229125522	9635.40210879	9756.99998384	86.0

104.490037395	15.4829878841	9637.02541795	9756.99844323	87.0

106.651625874	15.5267517474	9634.82160766	9756.99998528	87.0

106.572619893	14.1236425616	9636.30231913	9756.99858159	88.0

108.775698633	14.1661825101	9634.05810544	9756.99998659	88.0

108.702173968	12.8873958916	9635.40913744	9756.9987073	89.0

110.945070852	12.9285614304	9633.12635549	9756.99998777	89.0

110.876625774	11.7627738955	9634.35942189	9756.99882156	90.0

113.157720475	11.8024558258	9632.03981255	9756.99998885	90.0

113.093985829	10.7394013836	9633.16553822	9756.99892544	91.0

115.411709588	10.7775249032	9630.81075534	9756.99998983	91.0

115.352345704	9.80789404428	9631.83878015	9756.99901989	92.0

117.705180959	9.84441285161	9629.45039691	9756.99999072	92.0

117.649874906	8.9597613785	9630.38946953	9756.99910581	93.0

120.036354785	8.99465264317	9627.96898411	9756.99999153	93.0

119.984817935	8.18731936897	9628.82704668	9756.99918398	94.0

122.403525622	8.22057944872	9626.3758872	9756.99999227	94.0

122.355491479	7.48361188533	9627.16015175	9756.99925512	95.0

124.80505948	7.51525268647	9624.67968078	9756.99999295	95.0

124.760281742	6.84233993348	9625.3966982	9756.99931987	96.0

127.239391046	6.87238582515	9622.88821669	9756.99999356	96.0

127.197641874	6.25779794885	9623.54393901	9756.99937883	97.0

129.705021037	6.28628315345	9621.00868992	9756.99999411	97.0

129.666089494	5.72481641689	9621.60852662	9756.99943253	98.0

132.200513652	5.75178280962	9619.04769816	9756.99999462	98.0

132.164204306	5.23871017812	9619.59656697	9756.99948145	99.0

134.724494124	5.26420543766	9617.01129552	9756.99999508	99.0

134.690625782	4.79523184212	9617.5136684	9756.99952603	100.0

137.275646362	4.8193079021	9614.90504124	9756.99999551	100.0

137.24405093	4.39052979368	9615.36498593	9756.99956666	101.0

139.852710673	4.41324155179	9612.73404367	9756.99999589	101.0

139.823232119	4.02111032829	9613.15526125	9756.9996037	102.0

142.454481558	4.04251457542	9610.50300011	9756.99999624	102.0

142.426974973	3.68380350127	9610.888859	9756.99963748	103.0

145.079805585	3.70395803849	9608.21623294	9756.99999656	103.0

145.054136329	3.37573231792	9608.56979964	9756.99966829	104.0

147.727579329	3.39469523345	9605.87772229	9756.99999685	104.0

147.703622251	3.09428492999	9606.20178922	9756.9996964	105.0

150.396747379	3.11211401209	9603.49113573	9756.99999712	105.0

150.374386103	2.83708953824	9603.78824642	9756.99972206	106.0

153.086300412	2.8538418035	9601.05985515	9756.99999736	106.0

153.065426684	2.60199173138	9601.33232707	9756.99974548	107.0

155.795273321	2.61772305052	9598.58700121	9756.99999758	107.0

155.775786415	2.38703401915	9598.83694644	9756.99976687	108.0

158.522743419	2.40179882516	9596.07545554	9756.99999779	108.0

158.504549585	2.190437342	9596.30479948	9756.9997864	109.0

161.26782869	2.20428840751	9593.52788087	9756.99999797	109.0

161.25084065	2.0105843618	9593.73837924	9756.99980425	110.0

164.029686104	2.02357263444	9590.9467394	9756.99999814	110.0

164.013822587	1.84600435789	9591.13999361	9756.99982056	111.0

166.807509992	1.85817884403	9588.33430946	9756.9999983	111.0

166.792695305	1.69535957039	9588.51178059	9756.99983546	112.0

169.600530474	1.70676725905	9585.6927007	9756.99999844	112.0

169.586694109	1.5574328487	9585.85572213	9756.99984909	113.0

172.408011943	1.56811866868	9583.02386795	9756.99999857	113.0

172.395088208	1.43111647739	9583.17365687	9756.99986155	114.0

175.229251606	1.44112328157	9580.3296238	9756.99999868	114.0

175.217179289	1.31540206446	9580.4672916	9756.99987295	115.0

178.063578078	1.32477063621	9577.61165008	9756.99999879	115.0

178.052300135	1.20937138844	9577.73821186	9756.99988339	116.0

180.910350024	1.21814046586	9574.8715084	9756.99999889	116.0

180.899813287	1.11218811108	9574.98789153	9756.99989293	117.0

183.768954859	1.12039442544	9572.1106497	9756.99999898	117.0

